species,common_name,habitat,habitat_specialization,distribution,is_endemic,diet,trophic_level,size_cm,weight_kg,reproduction_rate,conservation_status,population_trend,threats,key_facts
Pteronura brasiliensis,giant otter,"['freshwater rivers', 'streams', 'freshwater lakes', 'freshwater springs', 'seasonally flooded forests', 'marshlands', 'oxbow lakes']",specialist,"['Bolivia', 'Brazil', 'Colombia', 'Ecuador', 'French Guiana', 'Guyana', 'Paraguay', 'Peru', 'Suriname', 'Venezuela']",False,"primarily fish (characins, catfish, cichlids, perch), also crabs, turtles, snakes, small caimans",apex predator,180.0,29.0,low,endangered,decreasing,"['poaching for fur', 'habitat destruction and degradation', 'logging', 'mercury contamination from gold mining', 'conflict with fishermen', 'disturbance from ecotourism', 'illegal pet trade']","Largest member of Mustelidae, highly social and territorial, diurnal, lives in family groups, builds dens near water, vulnerable due to late sexual maturity and complex social structure, population fragmented and declining, protected under CITES Appendix I."
Conilurus albipes,white-footed rabbit rat,"['woodlands', 'trees', 'hollow eucalyptus trees']",specialist,"['south-eastern Australia', 'Adelaide to Sydney', 'Bulloo River system', 'south of Coopers Creek']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,extinct,decreasing,"['disease spread by rats', 'competition with rats for food', 'predation by cats', 'loss of habitat due to cessation of Aboriginal firestick farming']","One of Australia's largest native rodents, nocturnal, nested in hollow eucalyptus trees, mother carried young attached to teats, last specimen recorded around 1845 with some reports up to 1930s."
Leporillus apicalis,lesser stick-nest rat,"['central Australia', 'remote areas of unsurveyed territory']",specialist,"['central Australia', 'Western Australia (possible sighting)']",True,herbivore (implied by competition with cattle and sheep and vulnerability to predators),primary consumer,92.58718085106382,1371.0242088757395,unknown,extinct,decreasing,"['competition with cattle', 'competition with sheep', 'reduction in available food sources', 'predation by owls', 'habitat disturbance (stick-nests set alight)']",Built large stick nests up to 3 meters long and 1 meter high; last confirmed sighting in 1933; last possible sighting in 1970; was tame and sometimes eaten by people; specimens held in South Australian Museum.
Notomys robustus,great hopping mouse,['clay soils'],specialist,"['Australia', 'Flinders Ranges']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,extinct,decreasing,[],Known only from skulls found in owl pellets; survived into historic times possibly until the second half of the 19th century; relatively large size; preferred clay soils; escaped early collection by naturalists.
Pseudomys shortridgei,heath mouse,"['heathlands', 'heath-like scrub', 'treeless areas', 'taller scrubland', 'mallee trees', 'climax heath assemblages', 'lateritic soils']",specialist,"['Australia', 'Grampians region, Victoria', 'southwest Victoria', 'Kangaroo Island', 'southwest Australia', 'Western Australia']",True,"herbivorous and fungivorous; consumes green shoots of grasses, seeds, and subterranean fruiting bodies of fungi",primary consumer,9.5,0.07,unknown,near threatened,decreasing,"['alterations to fire management practices', 'increased intensity and extent of fire events', 'habitat degradation', 'historical mammalian faunal collapse', 'possible epizootic disease']","Species occurs in two geographically remote regions in Australia; requires a mosaic of climax and recently burnt vegetation; rediscovered after presumed extinction; listed as vulnerable nationally and threatened in several states; population estimated around 11,000 individuals and declining."
Notomys amplus,short-tailed hopping mouse,"['open stony (gibber) plains', 'desert grasses', 'low shrubs', 'sand ridges']",specialist,"['Charlotte Waters, near Alice Springs, Central Australia']",True,unknown,unknown,11.803999999999998,0.08,unknown,extinct,decreasing,"['predation by foxes', 'predation by cats', 'habitat alterations']",Extinct species last recorded in June 1896; among the largest Australian hopping mice; only two complete specimens collected; decline due to predation and habitat changes.
Notomys aquilo,Northern hopping mouse,"['sandy soils', 'heathlands', 'grasslands']",specialist,"['coastal northern Australia', 'Arnhem Land', 'Cobourg Peninsula', 'Northern Territory', 'Groote Eylandt']",True,"seeds, other plant material, invertebrates",herbivore/omnivore,7.42,0.025,unknown,vulnerable,unknown,"['habitat alteration', 'changes in fire regime', 'effects of livestock', 'feral cats predation']","Nocturnal rodent with long tail 150% of body length, long hind feet up to 4 cm, constructs communal burrow systems, highly elusive and trap-shy, only known population in Anindilyakwa Indigenous Protected Area."
Notomys longicaudatus,long-tailed hopping mouse,"['dry humid areas with greenery', 'clay-like ground']",specialist,"['Northern Territory', 'South Australia', 'New South Wales', 'Western Australia', 'Australia']",True,"fruits, grain, plants, raisins",herbivore,10.16,0.05333,unknown,extinct,decreasing,"['predation by fox', 'predation by wild cats', 'predation by thylacine', 'predation by hawks', 'predation by owls', 'habitat alteration']","Extinct species of rodent endemic to Australia, last confirmed live specimen died in 1901. Known for digging burrows in stiff clay soils and building soil layers to collect dew. Extinction likely due to multiple factors including predation and habitat changes."
Notomys mordax,Darling Downs hopping mouse,"['Darling Downs, Queensland, Australia']",specialist,['Australia'],True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,extinct,decreasing,"['introduced predators', 'foxes', 'domestic cats']",Known from a single skull found at Darling Downs. Extinct species in the family Muridae. Rapid declines in populations in the genus Notomys. Description published in 1922 by Oldfield Thomas.
Crocidura trichura,Christmas Island shrew,"['tall plateau rainforests with deep soil', 'shallow soil of terrace rainforests']",specialist,['Christmas Island'],True,small beetles,primary consumer,6.04,0.0045,unknown,extinct,decreasing,"['disease', 'habitat loss', 'habitat alteration due to invasive weeds', 'predation from cats', 'predation from black rats', 'small population size', 'mortality from road traffic', 'impact of yellow crazy ant (Anoplolepis gracilipes)']","The Christmas Island shrew was a small terrestrial mammal endemic to Christmas Island, feeding primarily on small beetles and inhabiting rainforest soils. It declined dramatically since 1900, with extinction declared in 2025. Potential causes include disease possibly linked to introduced black rats, habitat changes, predation by invasive species, and competition with the Christmas Island red crab."
Rattus detentus,Manus Island spiny rat,"['Manus Island', 'Los Negros Island']",specialist,"['Manus Island, Papua New Guinea', 'Los Negros Island']",True,unknown,unknown,92.58718085106382,1371.0242088757395,unknown,critically endangered (possibly extinct),decreasing,"['deforestation for logging', 'agriculture', 'invasive species such as feral cats']","Largest Rattus species in Melanesian archipelago, possibly exhibiting island gigantism; highly divergent member of Austro-Papuan Rattus radiation with no close relatives; occurs at low densities and not universally common; some resilience to human impacts suggested by localities of capture."
Onychogalea lunata,crescent nail-tail wallaby,"['scrub', 'woodlands', 'arid environments', 'semi-arid environments', 'shrublands', 'dense thickets', 'mulga scrubland', 'stony hills']",generalist,"['southwestern Australia', 'central Australia', 'Western Australia', 'Northern Territory', 'South Australia', 'New South Wales']",True,grazed on grasses,herbivore,37.0,3.5,unknown,extinct,decreasing,"['habitat loss', 'habitat degradation', 'pastoralism', 'sheep farming', 'wheat farming', 'altered land management', 'extensive use of fire', 'displacement by European rabbit', 'hunting', 'predation by red fox', 'disease (epizootic event)']","Small marsupial with distinctive crescent-shaped markings and nail-like tail tip. Once common in southwestern and central Australia, it declined rapidly in the early 20th century and became extinct around 1956. Extremely timid, preferred dense scrub and woodland habitats. Threatened by habitat loss, invasive species, hunting, and possibly disease."
Caloprymnus campestris,desert rat-kangaroo,"['desert regions', 'clay pans', 'loamy flats', 'sand ridges', 'gibber plains']",specialist,"['South Australia', 'southwestern Queensland', 'Northern Territory']",True,"mainly herbivorous, feeding on foliage and stems of desert vegetation; also insects such as beetles and weevils",herbivore,56.1,6.266,medium,extinct,decreasing,"['predation by red fox', 'predation by feral cats', 'variable seasonal patterns', 'overhunting by indigenous Australians']",Small hopping marsupial endemic to arid desert regions of Central Australia; last confirmed sighting in 1935; adapted to survive without surface water; extinction linked to introduced predators and environmental changes; possible unconfirmed sightings and remains found after declared extinct.
Potorous platyops,broad-faced potoroo,"['semiarid coastal districts of Southwest Australia', 'thicket surrounding salt lagoons in the interior']",unknown,"['Southwest Australia', 'Nullarbor Plain', 'Northwest Cape region', 'Kangaroo Island', 'southern and western regions of Australia', 'Eyre Peninsula']",True,unknown,unknown,30.5,0.8,unknown,extinct,decreasing,"['disease/epizootic', 'possible competition with invasive European rabbit']","Extinct potoroid marsupial last recorded in 1875; small size (~30 cm body length, 0.8 kg weight); habitat and diet largely unknown; subfossil remains indicate wide distribution in southwestern Australia; extinction possibly linked to disease and invasive species; no direct evidence linking habitat loss or predation to decline."
Bettongia tropica,northern bettong,"['mixed open Eucalyptus woodlands', 'Allocasuarina forests bordering rainforests']",specialist,"['far northeastern Queensland, Australia']",True,"fungus (ectomycorrhizal fungal sporocarps), grass roots, tubers, lilies, herbs, sedges, fruits, seeds",herbivore,92.58718085106382,1371.0242088757395,high,endangered,decreasing,"['habitat loss', 'land clearing for agriculture']","Nocturnal marsupial that lives in burrows, carries young in a pouch, reproduces year-round with up to three young per year, restricted to small areas in northeastern Queensland, threatened by habitat loss."
Bettongia anhydra,desert bettong,[],unknown,"['western Northern Territory, Australia']",False,fungivorous,herbivore,92.58718085106382,1371.0242088757395,unknown,extinct,decreasing,[],"Recently extinct potoroine marsupial species; type specimen collected in 1933 at Lake Mackay; small to medium sized, nocturnal, fungivorous; dentary resembles Potorous species."
Thylacinus cynocephalus,Thylacine,"['dry eucalyptus forests', 'wetlands', 'grasslands', 'woodlands', 'coastal heath']",specialist,"['Australian mainland', 'Tasmania', 'New Guinea']",False,"carnivorous, primarily small to medium-sized mammals and birds",apex predator,130.0,16.7,medium,extinct,decreasing,"['intensive hunting and bounty hunting', 'disease', 'competition with dingoes', 'human encroachment', 'climate change', 'habitat erosion', 'low genetic diversity']","The thylacine was a carnivorous marsupial native to Australia, Tasmania, and New Guinea, extinct since 1936. It was a solitary ambush predator specialized in hunting small to medium prey. Its extinction was caused by hunting, disease, competition with introduced species, habitat loss, and low genetic diversity. The last known individual died in captivity in Tasmania."
